original_id,project_or_tender,name,desc,state,location,pincode,status,budget,url,document_url,sector,sub_sector,timestamp_range
2023_AWEIL_162749_1,Tender,"Percentage Rate Contract for Periodical Services based on Chapter/ Section 14, 15 and 17 of MES SSR- 2020 Part-II at GCF Estate area Jabalpur.","Percentage Rate Contract for Periodical Services based on Chapter/ Section 14, 15 and 17 of MES SSR- 2020 Part-II at GCF Estate area Jabalpur.","Gun Carriage Factory, Jabalpur","Engineering Office, Gun Carriage Factory, Jabalpur",482011,Open Tender,"15,00,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SHYnqiGhN71O8NzAuNjm6hg%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Civil Works,Periodical Services,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AWEIL_165363_1,Tender,"Percentage Rate Contract for Chapter 3, 4, 5, 10, 13, 14, 15 18, 21, 27 and 29 of MES SSR- 2020 for Repair/Maintenance of Water Supply and Sewage Line System of inside factory GCF Jabalpur.","Percentage Rate Contract for Chapter 3, 4, 5, 10, 13, 14, 15 18, 21, 27 and 29 of MES SSR- 2020 for Repair/Maintenance of Water Supply and Sewage Line System of inside factory GCF Jabalpur.","Gun Carriage Factory, Jabalpur","Engineering Office, Gun Carriage Factory, Jabalpur",482011,Open Tender,"10,00,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SXqxwjQrmnaus06fw96sggw%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Civil Works,Water Supply and Sewage Line System,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AWEIL_164038_1,Tender,"Term contract for artificers work in building including joinery and plumbing works at Seven Tanks Estate at Gun and  Shell Factory, Cossipore","Term contract for artificers work in building including joinery and plumbing works at Seven Tanks Estate at Gun and Shell Factory, Cossipore","GSF,Cossipore, Kolkata","GSF,Cossipore, Kolkata",700002,Open Tender,"30,00,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SovsPqZDw0XyeV%2BejJT99yQ%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Civil Works,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AWEIL_164445_1,Tender,"Repairing of fencing wall in front of boundary wall at works-I and II at Gun and Shell Factory, Cossipore, Kolkata-700002.","Repairing of fencing wall in front of boundary wall at works-I and II at Gun and Shell Factory, Cossipore, Kolkata-700002.","GSF,Cossipore, Kolkata","GSF, Cossipore, Kolkata",700002,Open Tender,"3,43,824",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SwJG0rF5SPFZyEkz8z0JZcw%3D%3D,,Civil Works,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AWEIL_163607_1,Tender,"Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.","Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.","GSF, Cossipore, Kolkata","GSF, Cossipore, Kolkata",700002,Open Tender,"22,93,719",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SzWHFpR00XQbiZaNIK1wiZg%3D%3D,,Civil Works,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AWEIL_162966_1,Tender,"Repairs and strengthening of existing pond retaining walls in affected portions by timber pilling at Seven Tanks Estate at GSF, Cossipore.","Repairs and strengthening of existing pond retaining walls in affected portions by timber pilling at Seven Tanks Estate at GSF, Cossipore.","Gun and Shell Factory, Cossipore, Kolkata","Gun and Shell Factory, Cossipore, Kolkata",700002,Open Tender,NA,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SR2KUSMkvoWvNJSe3VA3yZA%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Civil Works,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AAI_166357_1,Tender,"Notice Inviting e-Tender For LICENSE FOR RETAIL OUTLET FOR TOYS AND TRAVEL ACCESSORIES SHOP IN SHA, UPPER GROUND FLOOR at NITB, VSI Airport, Port Blair","Notice Inviting e-Tender For LICENSE FOR RETAIL OUTLET FOR TOYS AND TRAVEL ACCESSORIES SHOP IN SHA, UPPER GROUND FLOOR at NITB, VSI Airport, Port Blair","VSI Airport, Port Blair","O/o Airport Director, VSI Airport",744101,Open Tender,"15,36,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SZXJpZEN5%2F1IHaIR4X246Cw%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Miscellaneous Services,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AAI_166356_1,Tender,"Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR APPAREL SHOP IN SHA, UPPER GROUND FLOOR at NITB, VSI Airport, Port Blair","Notice Inviting e-Tender for LICENSE FOR RETAIL OUTLET FOR APPAREL SHOP IN SHA, UPPER GROUND FLOOR at NITB, VSI Airport, Port Blair","VSI Airport, Port Blair","O/o Airport Director, VSI Airport, Port Blair",744101,Open Tender,"15,36,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SAXBCBqMTr8q4dVDJF7yL6Q%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Miscellaneous Services,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AAI_166453_1,Tender,"Licence for Apparel Outlet at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.","Licence for Apparel Outlet at Domestic Security Hold Area (DSHA), New Integrated Terminal Building, Goa International Airport, Dabolim.",Goa International Airport,Goa International Airport,403801,Open Tender,"24,60,00,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S1oHfMVzGN587KhA9Hamo4g%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Miscellaneous Services,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
2023_AAI_161982_2,Tender,Branded Footwear NTB Location 22 SHA GF,Branded Footwear NTB Location 22 SHA GF,JABALPUR,AIRPORT DIRECTOR JABALPUR AIRPORT,482005,Open Tender,"22,86,000",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SCSlQqAz%2ByQpliEbWjwg4yw%3D%3D,https://etenders.gov.in/eprocure/app?component=%24DirectLink_8&page=FrontEndTenderDetails&service=direct&session=T,Miscellaneous Services,NA,"{'published_date': None, 'bid_opening_date': '15-Sep-2023 11:00 AM', 'submission_start_date': None, 'submission_end_date': '13-Sep-2023 05:00 PM'}"
